Index 1,Item Link (Front),Item Link (Back),i Tatti Photograph ID#,Artwork Title,Artist Name,Size (Height)[cm],Size (Width)[cm],Artwork Provenance,Medium (from Artwork),Bibliographic References,Subject (Personal Names),Subject (Generic Terms),Photographer Name,Photograph Provenance,Print Type,Image Source (from Photograph),Filename (from Photograph)
BPA1001,109644_1_45942227.jpg,109644_2_45942228.jpg,109644,Portrait of a Venetian General,Paolo Veronese,199 1/2 cm,119 cm,"The 12th Duke of Hamilton, Hamilton Palace, Christie Sale, June 24, 1882, lot 411 as Giorgione",canvas paintings,,,portraits,,"Ph. sent by Wildenstein, Dec. 1957",black-and-white prints,Photo Archive of the Berenson Library at Harvard’s Villa I Tatti,109644_1_45942227.jpg
,,,,,,,,"The 6th Earl of Rosebery, Mentmore, Christie Sale, May 5, 1939 lot 45 as Giorgione",,,,military officers,,,,,109644_2_45942228.jpg
,,,,,,,,Koetser,,,,,,,,,
,,,,,,,,"Madame K.L. Coal Charpentier Sale, Paris, Nov. 30, 1954 lot 34",,,,,,,,,
,,,,,,,,Wildenstein,,,,,,,,,
,,,,,,,,"Frederick W. Field, Greenacres, Beverly Hills, Christie Sale, London, July 5, 1991 lot 4",,,,,,,,,
,,,,,,,,"ex. Earl of Rosebery, MENTMORE (Bucks.)",,,,,,,,,
BPA1002,109659_1_45942255.jpg,109659_2_45942256.jpg,109659,Poet Between Vice & Virtue,Paolo Veronese,,,Edith von Zur Muehlen PONTE A MORIANO (Lucca),canvas paintings,,,ethics (philosophy),,,black-and-white prints,Photo Archive of the Berenson Library at Harvard’s Villa I Tatti,109659_1_45942255.jpg
,,,,,,,,,,,,allegory (artistic device),,,,,109659_2_45942256.jpg
BPA1003,109689_1_45942299.jpg,109689_2_45942300.jpg,109689,Venus & Adonis,Paolo Veronese,,,Private coll.,canvas paintings,"Pallucchini, ACROPOLI, 1963 pp.293-303, rep r. in color",Venus,love (emotion),,,black-and-white prints,Photo Archive of the Berenson Library at Harvard’s Villa I Tatti,109689_1_45942299.jpg
,,,,,,,,,,,Adonis,couples,,,,,109689_2_45942300.jpg
BPA1004,109707_1_45942331.jpg,109707_2_45942332.jpg,109707,The Astronomer,Paolo Veronese,138.4 cm,110.5 cm,Sir Stephen Courtauld UMTALI (S.Rhoclesia),canvas paintings,APOLLO IV no. 23. nov. 1926. opp. p. 185 & p. 187,,astronomers,A. C. Cooper,,black-and-white prints,Photo Archive of the Berenson Library at Harvard’s Villa I Tatti,109707_1_45942331.jpg
,,,,,,,,,,,,portraits,,,,,109707_2_45942332.jpg
BPA1005,109832_1_45942538.jpg,109832_2_45942539.jpg,109832,Shepherd & Nymph,Paris Bordone,,,Crespi Coll. MILAN,canvas paintings,"E. Martini, ARTE ILLUSTRATA, July - Dec. 1968 p. 26",,lovers,,,black-and-white prints,Photo Archive of the Berenson Library at Harvard’s Villa I Tatti,109832_1_45942538.jpg
,,,,,,,,,,,,cupids,,,,,109832_2_45942539.jpg
BPA1006,109833_1_45942540.jpg,109833_2_45942541.jpg,109833,Courtesean,Paris Bordone,45 cm,32 3/8 cm,"O.V Watney, Cornbury Park, Oxon",canvas paintings,,,portraits,A. C. Cooper,,black-and-white prints,Photo Archive of the Berenson Library at Harvard’s Villa I Tatti,109833_1_45942540.jpg
,,,,,,,,"Christie Sale June 23, 1967 lot 57",,,,single-sitter portraits,,,,,109833_2_45942541.jpg
,,,,,,,,"J Paul Getty, Sutton Place, Guilford, Surrey",,,,sex workers,,,,,
,,,,,,,,"J. Paul Getty Museum, Malibu, 1978",,,,,,,,,
,,,,,,,,"Christie Sale, New York: May 21 1992 lot 37",,,,,,,,,
