objectid,parentid,title,creator,height,width,provenance,medium,citation,subject_person,subject_topic,source,print_type,display_template,object_location,image_thumb,image_small
bpa1001,,Portrait of a Venetian General,Paolo Veronese,199.5 cm,119 cm,"The 12th Duke of Hamilton, Hamilton Palace, Christie Sale, June 24, 1882, lot 411 as Giorgione;The 6th Earl of Rosebery, Mentmore, Christie Sale, May 5, 1939 lot 45 as Giorgione;Koetser;Madame K.L. Coal Charpentier Sale, Paris, Nov. 30, 1954 lot 34;Wildenstein;Frederick W. Field, Greenacres, Beverly Hills, Christie Sale, London, July 5, 1991 lot 4;ex. Earl of Rosebery, MENTMORE (Bucks.)",canvas paintings,,,portraits;military officers,,,compound_object,,/objects/image_thumb/109644_1_45942227.jpg,/objects/image_small/109644_1_45942227.jpg
bpa1002,,Poet Between Vice & Virtue,Paolo Veronese,,,Edith von Zur Muehlen PONTE A MORIANO (Lucca),canvas paintings,,,ethics (philosophy);allegory (artistic device),,,compound_object,,/objects/image_thumb/109659_1_45942255.jpg,/objects/image_small/109659_1_45942255.jpg
bpa1003,,Venus & Adonis,Paolo Veronese,,,Private coll.,canvas paintings,"Pallucchini, ACROPOLI, 1963 pp.293-303, rep r. in color",Venus;Adonis,love (emotion);couples,,,compound_object,,/objects/image_thumb/109689_1_45942299.jpg,/objects/image_small/109689_1_45942299.jpg
bpa1004,,The Astronomer,Paolo Veronese,138.4 cm,110.5 cm,Sir Stephen Courtauld UMTALI (S.Rhoclesia),canvas paintings,APOLLO IV no. 23. nov. 1926. opp. p. 185 & p. 187,,astronomers;portraits,,,compound_object,,/objects/image_thumb/109707_1_45942331.jpg,/objects/image_small/109707_1_45942331.jpg
bpa1005,,Shepherd & Nymph,Paris Bordone,,,Crespi Coll. MILAN,canvas paintings,"E. Martini, ARTE ILLUSTRATA, July - Dec. 1968 p. 26",,lovers;cupids,,,compound_object,,/objects/image_thumb/109832_1_45942538.jpg,/objects/image_small/109832_1_45942538.jpg
bpa1006,,Courtesean,Paris Bordone,45 cm,32.4 cm,"O.V Watney, Cornbury Park, Oxon
Christie Sale June 23, 1967 lot 57
J Paul Getty, Sutton Place, Guilford, Surrey
J. Paul Getty Museum, Malibu, 1978 
Christie Sale, New York: May 21 1992 lot 37",canvas paintings,,,portraits;single-sitter portraits;sex workers,,,compound_object,,/objects/image_thumb/109833_1_45942540.jpg,/objects/image_small/109833_1_45942540.jpg
bpa1007,,Portrait of Fair Haired Woman Holding Elaborate Dish,Paris Bordone,34.5 cm,28.5 cm,"24 July, 1945
Christie Sale, London
Bought by Koesten fut 651
Earl of Radnor Longford Castle",canvas paintings,"Woogen, III, p.140",,portraits;single-sitter portraits;Italian Renaissance-Baroque styles,,,compound_object,,/objects/image_thumb/109842_1_45942556.jpg,/objects/image_small/109842_1_45942556.jpg
bpa1008,,Rest on Flight,Paris Bordone,61 cm,92.5 cm,"Jonies Cozenove Sale, Christie's May 18, 1833 lot 105
Spencer Churchill, Northwick Park 1965
Christie's Sale, May 28 1965 lot 27 
March 14, 1975 lot 110",canvas paintings,"G. Canova, p.13-14, 109","Jesus Christ;Mary, Blessed Virgin, Saint;Joseph (Son of Jacob)",Italian Renaissance-Baroque styles;putti (motifs);biblical;religious art,,,compound_object,,/objects/image_thumb/109880_1_45942626.jpg,/objects/image_small/109880_1_45942626.jpg
bpa1009,,Rest on Flight,Paris Bordone,48.7 cm,68.8 cm,"Count Adam Polocki, Cracow
Count Antoine Steilern, London",canvas paintings,"Canova, p. 105 fig 109 as ca 1550","Jesus Christ;Mary, Blessed Virgin, Saint;Joseph (Son of Jacob)",Italian Renaissance-Baroque styles;biblical;religious art,,,compound_object,,/objects/image_thumb/109881_1_45942656.jpg,/objects/image_small/109881_1_45942656.jpg
bpa1010,,Holy Family + Infant St. John,Paris Bordone,100 cm,137 cm,"Sir Phillip Stephens;Christie Sale, May 17 1810;lot 77;Lord Ranelgh, 1829;Stirling Coll., Keir;Stirling Sale Sotheby, July 3, 1963 lot 44;Christie Sale, Dec. 10, 1982 lot 60;Casa Venier, Venice",canvas paintings,"G. Canova, p. 81","Jesus Christ;Mary, Blessed Virgin, Saint;John, the Baptist, Saint",biblical;religious art,,,compound_object,,/objects/image_thumb/109897_1_45942662.jpg,/objects/image_small/109897_1_45942662.jpg
